dataset,feature_family,params,mean_bal_acc,std_bal_acc,timestamp
HAM10000,GLCM,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.14399413795386948,0.002273990193453279,2026-01-13T09:40:48.007689
HAM10000,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.14324324324324325,0.0007722007722007818,2026-01-13T10:43:17.387000
HAM10000,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.14311338885329916,0.0005124919923126248,2026-01-13T11:45:56.861069
ISIC2019,LBP,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.12842771461178182,0.0022660752840960472,2026-01-13T12:33:58.095862
ISIC2019,LBP,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.1270777702968624,0.0013720948875288758,2026-01-13T13:45:04.916887
ISIC2019,LBP,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.12694625569715007,0.0007135033538428029,2026-01-13T14:55:53.459398
ISIC2019,GLCM,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.12975814530451898,0.00434862455510267,2026-01-13T15:41:52.290661
ISIC2019,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.13001927049624828,0.0030566382344533074,2026-01-13T17:05:07.186145
ISIC2019,GLCM,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.12839600173559212,0.0030416117703051526,2026-01-13T18:48:40.364502
